"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","Ros","+/-"
"*031cd*","Mitch Garver","SEA","C","560","FA","34","@ATH Wed 9:05PM","114.5","1.97","14%","+1%"
"*03duu*","Ryan Thompson","ARI","RP","561","FA","33","@DET Wed 12:10PM","114.5","3.18","5%","-0.7%"
"*066n1*","Justin Sterner","ATH","RP","562","FA","28","SEA Wed 9:05PM","114","3","5%","-0.9%"
"*02hhj*","Ryne Stanek","NYM","RP","564","FA","34","@SD Wed 3:10PM","113.5","2.7","5%","-0.9%"
"*04pqo*","Braydon Fisher","TOR","RP","565","W <small>(Fri)</small>","25","@BAL Wed 11:35AM","113","3.65","12%","-3.6%"
"*047sh*","Wandy Peralta","SD","RP","566","FA","34","NYM Wed 3:10PM","113","2.31","5%","-0.4%"
"*05jp4*","Casey Schmitt","SF","1B,2B,3B","567","FA","26","PIT Wed 2:45PM","112","2.29","12%","-3.2%"
"*01ucb*","Drew Pomeranz","CHC","SP,RP","568","FA","36","@MIL Wed 1:10PM","112","3.2","9%","-2.2%"
"*06hv8*","Logan Evans","SEA","SP,RP","571","FA","24","@ATH Wed 9:05PM","111","9.25","32%","-4.5%"
"*0376h*","Tyler Alexander","CHW","SP,RP","574","FA","31","PHI Wed 1:10PM","110","3.24","6%","-0.3%"
"*0374o*","Chad Green","TOR","RP","576","FA","34","@BAL Wed 11:35AM","110","2.44","19%","+0.4%"
"*04mn4*","Joey Bart","PIT","C","578","FA","28","@SF Wed 2:45PM","108.5","1.7","25%","+2.2%"
"*03d7g*","Alex Verdugo","ATL","OF","580","FA","29","@KC Wed 1:10PM","108.5","1.94","13%","+1.3%"
"*062z3*","Brooks Baldwin","CHW","2B,SS,OF","577","FA","24","PHI Wed 1:10PM","108.5","1.78","11%","-1.3%"
"*05y4m*","Tim Tawa","ARI","1B,2B,OF","579","FA","26","@DET Wed 12:10PM","108.5","1.84","8%","-0.9%"
"*05xpv*","Chase Lee","DET","RP","581","FA","26","ARI Wed 12:10PM","108","3.37","4%","-1.5%"
"*02n3l*","Taylor Rogers","CIN","RP","582","FA","34","LAD Wed 6:10PM","108","2.7","7%","-0.2%"
"*03qo2*","LaMonte Wade Jr.","LAA","1B,OF","585","FA","31","TEX Wed 8:38PM","107","1.34","13%","+1.7%"
"*05ad7*","Manuel Rodriguez","TB","RP","586","FA","28","@NYY Wed 6:05PM","107","3.45","7%","-2%"
"*04w4e*","Johan Rojas","PHI","OF","590","FA","24","@CHW Wed 1:10PM","105","1.5","10%","-0.3%"
"*025ey*","Luke Jackson","DET","RP","591","FA","33","ARI Wed 12:10PM","104.5","2.55","13%","-5.1%"
"*05lo5*","Freddy Fermin","KC","C","592","FA","30","ATL Wed 1:10PM","104.5","1.58","11%","+1.1%"
"*05t2b*","Daylen Lile","WSH","OF","593","FA","22","@HOU Wed 1:10PM","104.5","2.43","10%","-2.2%"
"*04si3*","Brayan Rocchio","CLE","SS","597","FA","24","COL Wed 5:40PM","104","1.73","16%","-0.1%"
"*02n1c*","Tyler Heineman","TOR","C","596","FA","34","@BAL Wed 11:35AM","104","2.48","4%","-0.9%"
"*03qlm*","Tyler Ferguson","ATH","RP","595","FA","31","SEA Wed 9:05PM","104","2.89","3%","-0.4%"
"*0648y*","Mason Fluharty","TOR","RP","598","FA","23","@BAL Wed 11:35AM","104","2.6","3%","-0.4%"
"*05oz7*","Jose Butto","NYM","SP,RP","599","FA","27","@SD Wed 3:10PM","103.5","3.04","12%","-1.2%"
"*0316v*","Jake Bauers","MIL","1B,OF,RP","600","FA","29","CHC Wed 1:10PM","103.5","1.73","5%","-0.5%"
"*061t3*","Brennan Bernardino","BOS","RP","601","FA","33","@MIN Wed 12:10PM","103.5","2.2","2%","-0.4%"
"*041ts*","Luke Raley","SEA","1B,OF","602","FA","30","@ATH Wed 9:05PM","103","2.1","30%","+0.9%"
"*01s99*","Travis dArnaud","LAA","C","603","FA","36","TEX Wed 8:38PM","103","2.1","10%","+0.7%"
"*04pxp*","Victor Vodnik","COL","RP","604","FA","25","@CLE Wed 5:40PM","102","3.19","6%","-0.6%"
"*04eer*","Drew Waters","KC","OF","605","FA","26","ATL Wed 1:10PM","102","1.44","5%","-0.5%"
"*02brf*","Jorge Lopez","(N/A)","RP","606","FA","32","","101","3.88","4%","+0.4%"
"*03yr2*","Yohel Pozo","STL","C","607","FA","28","MIA Wed 6:45PM","100.5","2.23","3%","-0.7%"
"*05161*","Dominic Canzone","SEA","OF","608","FA","27","@ATH Wed 9:05PM","100","2.44","15%","-4%"
